baseline_ns,cam5,cam6
10411549553446,10411549553446,10411555438476
10411549553446,10411549553446,10411555438476
10411582011974,10411582491615,10411582011974
10411582011974,10411582491615,10411582011974
10411614453574,10411614453574,10411615248178
10411614453574,10411614453574,10411615248178
10411814613622,10411814613622,10411816710850
10411814613622,10411814613622,10411816710850
10411882318530,10411885534263,10411882318530
10411882318530,10411885534263,10411882318530
10411913924080,10411913924080,10411915753012
10411913924080,10411913924080,10411915753012
10411979851001,10411979851001,10411981123220
10411979851001,10411979851001,10411981123220
10412113302447,10412113302447,10412115047438
10412113302447,10412113302447,10412115047438
10412146624745,10412146624745,10412156566425
10412146624745,10412146624745,10412156566425
10412180358139,10412180358139,10412185205412
10412180358139,10412180358139,10412185205412
10412213042575,10412213042575,10412219339923
10412213042575,10412213042575,10412219339923
10412882426772,10412883958172,10412882426772
10412882426772,10412883958172,10412882426772
10413379499642,10413379499642,10413380900990
10413379499642,10413379499642,10413380900990
10414346259978,10414346259978,10414347552164
10414346259978,10414346259978,10414347552164
10415110111790,10415110111790,10415114653961
10415110111790,10415110111790,10415114653961
10415110111790,10415110111790,10415114653961
10415110111790,10415110111790,10415114653961
10415209472749,10415209472749,10415212828650
10415209472749,10415209472749,10415212828650
10415277144387,10415277144387,10415282781198
10415277144387,10415277144387,10415282781198
10415309198374,10415309198374,10415312494488
10415309198374,10415309198374,10415312494488
10415378405024,10415378405024,10415381961508
10415378405024,10415378405024,10415381961508
10415409439941,10415409439941,10415412641757
10415409439941,10415409439941,10415412641757
10415476980639,10415476980639,10415479346323
10415476980639,10415476980639,10415479346323
10415775655292,10415775655292,10415780890962
10415775655292,10415775655292,10415780890962
10415775655292,10415775655292,10415780890962
10415775655292,10415775655292,10415780890962
10415842508362,10415842508362,10415847231587
10415842508362,10415842508362,10415847231587
10415842508362,10415842508362,10415847231587
10415842508362,10415842508362,10415847231587
10415879708086,10415879708086,10415881838577
10415879708086,10415879708086,10415881838577
10415975825077,10415975825077,10415982771244
10415975825077,10415975825077,10415982771244
10416310159319,10416310159319,10416315312085
10416310159319,10416310159319,10416315312085
10416375562256,10416375562256,10416380449197
10416375562256,10416375562256,10416380449197
10416577989065,10416577989065,10416582908575
10416577989065,10416577989065,10416582908575
10416609055366,10416609055366,10416613699358
10416609055366,10416609055366,10416613699358
10416642260131,10416642260131,10416646876625
10416642260131,10416642260131,10416646876625
10416675587230,10416675587230,10416680235344
10416675587230,10416675587230,10416680235344
10416708738744,10416708738744,10416712940360
10416708738744,10416708738744,10416712940360
10416708738744,10416708738744,10416712940360,10416714608933
10416708738744,10416708738744,10416712940360,10416714608933
10416708738744,10416708738744,10416712940360,10416714608933
10416712940360,10416712940360,10416714608933
10416712940360,10416712940360,10416714608933
10416742700291,10416742700291,10416747522825
10416742700291,10416742700291,10416747522825
10416742700291,10416742700291,10416745909343,10416747522825
10416742700291,10416742700291,10416745909343,10416747522825
10416742700291,10416742700291,10416745909343,10416747522825
10416745909343,10416745909343,10416747522825
10416745909343,10416745909343,10416747522825
10416775471937,10416775471937,10416780677197
10416775471937,10416775471937,10416780677197
10416808558804,10416808558804,10416817834703
10416808558804,10416808558804,10416817834703
10416842003538,10416842003538,10416846008482
10416842003538,10416842003538,10416846008482
10416943424876,10416943424876,10416945700263
10416943424876,10416943424876,10416945700263
10416975391914,10416975391914,10416979905143
10416975391914,10416975391914,10416979905143
10416975391914,10416975391914,10416979905143,10416979929107
10416975391914,10416975391914,10416979905143,10416979929107
10416975391914,10416975391914,10416979905143,10416979929107
10416979905143,10416979905143,10416979929107
10416979905143,10416979905143,10416979929107
10416979905143,10416979905143,10416979929107
10416979905143,10416979905143,10416979929107
10417046038729,10417046038729,10417052858103
10417046038729,10417046038729,10417052858103
10417075103714,10417075103714,10417079751480
10417075103714,10417075103714,10417079751480
10417108473149,10417108473149,10417118387054
10417108473149,10417108473149,10417118387054
10417141861935,10417141861935,10417145804676
10417141861935,10417141861935,10417145804676
10417175153548,10417175153548,10417179695323
10417175153548,10417175153548,10417179695323
10417175153548,10417175153548,10417179695323,10417185847341
10417175153548,10417175153548,10417179695323,10417185847341
10417175153548,10417175153548,10417179695323,10417185847341
10417179695323,10417179695323,10417185847341
10417179695323,10417179695323,10417185847341
10417208559953,10417208559953,10417217025372
10417208559953,10417208559953,10417217025372
10417242072058,10417242072058,10417245925096
10417242072058,10417242072058,10417245925096
10417275110890,10417275110890,10417279320682
10417275110890,10417275110890,10417279320682
10417308559329,10417308559329,10417313093968
10417308559329,10417308559329,10417313093968
10417341888324,10417341888324,10417345833109
10417341888324,10417341888324,10417345833109
10417375088340,10417375088340,10417381009950
10417375088340,10417375088340,10417381009950
10417408347869,10417408347869,10417412268536
10417408347869,10417408347869,10417412268536
10417441670005,10417441670005,10417446685590
10417441670005,10417441670005,10417446685590
10417441670005,10417441670005,10417446685590,10417450011779
10417441670005,10417441670005,10417446685590,10417450011779
10417441670005,10417441670005,10417446685590,10417450011779
10417446685590,10417446685590,10417450011779
10417446685590,10417446685590,10417450011779
10417475824470,10417475824470,10417478965769
10417475824470,10417475824470,10417478965769
10417475824470,10417475824470,10417478965769,10417481510366
10417475824470,10417475824470,10417478965769,10417481510366
10417475824470,10417475824470,10417478965769,10417481510366
10417478965769,10417478965769,10417481510366
10417478965769,10417478965769,10417481510366
10417508688243,10417508688243,10417513839050
10417508688243,10417508688243,10417513839050
10417542772630,10417542772630,10417545833442
10417542772630,10417542772630,10417545833442
10417542772630,10417542772630,10417545833442,10417547753338
10417542772630,10417542772630,10417545833442,10417547753338
10417542772630,10417542772630,10417545833442,10417547753338
10417545833442,10417545833442,10417547753338
10417545833442,10417545833442,10417547753338
10417575998012,10417575998012,10417582938460
10417575998012,10417575998012,10417582938460
10417575998012,10417575998012,10417579378117,10417582938460
